session_id,alter_id,choice,reco_contains_mh,reco_contains_tg,reco_contains_pg,reco_contains_sq,reco_contains_vn,reco_contains_cx,reco_contains_od,deptime_outbound_sin2p,deptime_outbound_sin4p,deptime_outbound_cos2p,deptime_outbound_cos4p,deptime_inbound_sin2p,deptime_inbound_sin4p,deptime_inbound_cos2p,deptime_inbound_cos4p,group,group2
340812330,38,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.90630788,-.76604408,.422618,-.64278805,1,hola
340814456,1,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.90630788,-.76604408,.422618,-.64278805,1,hola
340815462,7,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.91531152,.73727715,-.40274656,-.6755904,1,hola
340817816,4,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,.19509032,-.38268343,-.98078525,.9238795,1,hola
340819494,13,1,0,0,0,1,0,0,0,-.86602551,.86602521,-.49999982,-.50000036,-.70710677,-1,.70710677,-4.2862639e-16,1,hola
340820670,20,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,.19509032,-.38268343,-.98078525,.9238795,1,hola
340821064,44,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340821138,13,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340821378,17,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340821388,18,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.90630788,-.76604408,.422618,-.64278805,1,hola
340821462,20,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.7933532,.96592593,-.60876161,-.25881863,1,hola
340821646,25,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340821730,39,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.91531152,.73727715,-.40274656,-.6755904,1,hola
340822228,20,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,.19509032,-.38268343,-.98078525,.9238795,1,hola
340822822,31,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.91531152,.73727715,-.40274656,-.6755904,1,hola
340822892,4,1,0,0,0,1,0,0,0,-.98836148,-.30070633,.15212366,-.95371675,-.7933532,.96592593,-.60876161,-.25881863,1,hola
340823512,56,1,0,0,0,1,0,0,0,-.86602551,.86602521,-.49999982,-.50000036,-.85491174,-.88701111,.5187735,-.46174812,1,hola
340824306,8,1,0,0,0,1,0,0,0,-.99144489,.25881863,-.13052599,-.96592593,-.85491174,-.88701111,.5187735,-.46174812,1,hola
340824678,15,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.46174869,.81915212,-.88701081,.57357633,1,hola
340826216,58,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.91531152,.73727715,-.40274656,-.6755904,1,hola
340826628,17,1,0,1,0,0,0,0,0,-.73727715,-.99619472,.6755904,-.087155186,.86602539,-.86602545,-.50000006,-.49999994,1,hola
340826794,53,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.90630788,-.76604408,.422618,-.64278805,1,hola
340827024,43,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,-.90630788,-.76604408,.422618,-.64278805,1,hola
340829738,31,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.85491174,-.88701111,.5187735,-.46174812,1,hola
340834310,54,1,0,0,0,1,0,0,0,-.86602551,.86602521,-.49999982,-.50000036,-.065403335,.1305266,-.99785888,.99144483,1,hola
340834322,7,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,-.90630788,-.76604408,.422618,-.64278805,1,hola
340834536,46,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.90630788,-.76604408,.422618,-.64278805,1,hola
340834812,12,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.85491174,-.88701111,.5187735,-.46174812,1,hola
340834956,37,1,0,0,0,1,0,0,0,-.86602551,.86602521,-.49999982,-.50000036,-.85491174,-.88701111,.5187735,-.46174812,1,hola
340835712,47,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340837882,31,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,-.46174869,.81915212,-.88701081,.57357633,1,hola
340839240,34,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,-.91531152,.73727715,-.40274656,-.6755904,1,hola
340840486,56,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.46174869,.81915212,-.88701081,.57357633,1,hola
340840898,59,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.46174869,.81915212,-.88701081,.57357633,1,hola
340842308,24,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.90630788,-.76604408,.422618,-.64278805,1,hola
340843196,28,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,.57357633,-.9396925,-.81915212,.34202039,1,hola
340843914,44,1,0,0,0,0,0,1,0,-.40274656,.73727715,-.91531152,.6755904,.04361942,-.087155811,-.99904823,.99619472,1,hola
340847542,22,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,.57357633,-.9396925,-.81915212,.34202039,1,hola
340848328,39,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.90630788,-.76604408,.422618,-.64278805,1,hola
340848570,48,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,-.46174869,.81915212,-.88701081,.57357633,1,hola
